"","PRT_ID","AREA","INT_SQFT","DATE_SALE","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","DATE_BUILD","BUILDTYPE","UTILITY_AVAIL","STREET","MZZONE","REG_FEE","COMMIS","SALES_PRICE"
"1","P03210","Karapakkam",1004,"04-05-2011",131,1,1,3,"AbNormal","Yes","15-05-1967","Commercial","AllPub","Paved","A",380000,144400,7600000
"2","P09411","Anna Nagar",1986,"19-12-2006",26,2,1,5,"AbNormal","No","22-12-1995","Commercial","AllPub","Gravel","RH",760122,304049,21717770
"3","P01812","Adyar",909,"04-02-2012",70,1,1,3,"AbNormal","Yes","09-02-1992","Commercial","ELO","Gravel","RL",421094,92114,13159200
"4","P05346","Velachery",1855,"13-03-2010",14,3,2,5,"Family","No","18-03-1988","Others","NoSewr ","Paved","I",356321,77042,9630290
"5","P06210","Karapakkam",1226,"05-10-2009",84,1,1,3,"AbNormal","Yes","13-10-1979","Others","AllPub","Gravel","C",237000,74063,7406250
"6","P00219","Chrompet",1220,"11-09-2014",36,2,1,4,"Partial","No","12-09-2009","Commercial","NoSeWa","No Access","RH",409027,198316,12394750
"7","P09105","Chrompet",1167,"05-04-2007",137,1,1,3,"Partial","No","12-04-1979","Other","AllPub","No Access","RL",263152,33955,8488790
"8","P09679","Velachery",1847,"13-03-2006",176,3,2,5,"Family","No","15-03-1996","Commercial","AllPub","Gravel","RM",604809,235204,16800250
"9","P03377","Chrompet",771,"06-04-2011",175,1,1,2,"AdjLand","No","14-04-1977","Others","NoSewr ","Paved","RM",257578,33236,8308970
"10","P09623","Velachery",1635,"22-06-2006",74,2,1,4,"AbNormal","No","26-06-1991","Others","ELO","No Access","I",323346,121255,8083650
"11","P09540","Chrompet",1203,"19-10-2006",78,2,1,4,"AdjLand","Yes","26-10-1978","Commercial","AllPub","No Access","RM",403326,119504,14938000
"12","P07121","Chrompet",1054,"16-02-2009",143,1,1,3,"Partial","No","26-02-1972","Others","NoSewr ","Gravel","RM",245693,141746,9449730
"13","P05512","Chrompet",1196,"11-02-2010",137,1,1,3,"Family","No","16-02-1991","Others","NoSewr ","No Access","RL",289554,35097,8774370
"14","P09370","Adyar",1056,"01-01-2007",83,1,1,3,"Partial","Yes","07-01-1981","Others","NoSewr ","Paved","RH",319141,37546,9386490
"15","P04085","Velachery",1865,"11-11-2010",157,3,2,5,"Family","No","24-11-1956","Commercial","NoSewr ","Paved","RM",619987,294494,15499680
"16","P06328","Velachery",1868,"12-09-2009",148,3,2,5,"Family","No","14-09-2000","Commercial","NoSewr ","Gravel","RH",597135,188569,15714080
"17","P06039","Karapakkam",1639,"04-11-2009",175,2,2,4,"Normal Sale","Yes","09-11-1991","House","ELO","Gravel","I",285648,77904,8656000
"18","P02016","Chrompet",796,"25-12-2011",134,1,1,2,"AdjLand","Yes","03-01-1975","Commercial","AllPub","No Access","RL",316464,130951,10912550
"19","P08160","Adyar",1136,"05-04-2008",69,1,1,3,"Normal Sale","Yes","13-04-1978","Others","AllPub","Paved","A",323214,49725,8287550
"20","P01372","Anna Nagar",1902,"02-07-2012",168,2,1,5,"Family","Yes","13-07-1970","Commercial","ELO","Paved","RL",742113,212032,21203240
"21","P00936","Chrompet",1069,"19-04-2013",53,1,1,3,"AbNormal","Yes","20-04-2009","Others","NoSewr ","Paved","RM",283544,43622,10905530
"22","P07346","Chrompet",931,"13-12-2008",96,1,1,3,"AbNormal","Yes","19-12-1986","Others","ELO","Paved","RL",248021,27558,9185970
"23","P06851","KK Nagar",2010,"06-05-2009",114,3,2,5,"Partial","No","09-05-1999","Others","NoSewr ","Gravel","RH",327762,262210,10925400
"24","P04665","Chrompet",1074,"23-07-2010",100,1,1,3,"AbNormal","No","27-07-1994","Others","NoSewr ","Gravel","RL",288821,86646,9627380
"25","P00902","TNagar",1972,"13-05-2013",111,2,1,5,"AdjLand","No","14-05-2008","Others","NoSewr ","No Access","RH",487297,167073,13922760
"26","P00293","T Nagar",1685,"19-07-2014",105,1,1,4,"Family","No","27-07-1980","House","NoSewr ","Gravel","RM",352830,176415,12601080
"27","P02235","Adyar",1130,"10-11-2011",29,1,1,3,"Family","Yes","17-11-1981","Commercial","ELO","Paved","RH",468417,53533,13383350
"28","P04080","Karapakkam",1301,"12-11-2010",59,1,1,3,"Normal Sale","Yes","14-11-2003","Others","NoSewr ","Gravel","C",357283,71457,7939625
"29","P02677","Adyar",730,"19-08-2011",185,1,1,2,"AdjLand","Yes","28-08-1972","House","ELO","Gravel","RL",265449,53090,8848285
"30","P00755","T Nagar",1806,"18-08-2013",138,2,1,5,"Family","No","27-08-1978","House","NoSeWa","Paved","RH",430852,113382,11338200
"31","P06980","Anna Nagar",1981,"01-04-2009",173,2,1,5,"AdjLand","No","03-04-2000","House","ELO","No Access","RL",373300,218831,12872430
"32","P02696","Adyar",868,"15-08-2011",15,1,1,3,"Normal Sale","No","17-08-2001","Others","NoSeWa","Gravel","RL",325514,72336,9042050
"33","P01517","T Nagar",1721,"26-03-2012",117,1,1,4,"AdjLand","Yes","31-03-1992","Others","ELO","Paved","RM",416483,223116,14874380
"34","P09650","Velachery",1755,"28-04-2006",16,2,1,4,"AdjLand","Yes","03-05-1987","Others","AllPub","Gravel","A",306671,173780,10222380
