"","X","PRT_ID","AREA","INT_SQFT","DATE_SALE","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","DATE_BUILD","BUILDTYPE","UTILITY_AVAIL","STREET","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD"
"1",1,"P03210","Karapakkam",1004,"04-05-2011",131,1,1,3,"Abnormal","Yes","15-05-1967","Commercial","AllPub","Paved",380000,144400,7600000,"1967","2011"
"2",2,"P09411","Anna Nagar",1986,"19-12-2006",26,2,1,5,"Abnormal","No","22-12-1995","Commercial","AllPub","Gravel",760122,304049,21717770,"1995","2006"
"3",3,"P01812","Adyar",909,"04-02-2012",70,1,1,3,"Abnormal","Yes","09-02-1992","Commercial","ELO","Gravel",421094,92114,13159200,"1992","2012"
"4",4,"P05346","Velachery",1855,"13-03-2010",14,3,2,5,"Family","No","18-03-1988","Other","No_Sew_Water","Paved",356321,77042,9630290,"1988","2010"
"5",5,"P06210","Karapakkam",1226,"05-10-2009",84,1,1,3,"Abnormal","Yes","13-10-1979","Other","AllPub","Gravel",237000,74063,7406250,"1979","2009"
"6",6,"P00219","Chromepet",1220,"11-09-2014",36,2,1,4,"Partial","No","12-09-2009","Commercial","No_Sew_Water","NoAccess",409027,198316,12394750,"2009","2014"
"7",7,"P09105","Chromepet",1167,"05-04-2007",137,1,1,3,"Partial","No","12-04-1979","Other","AllPub","NoAccess",263152,33955,8488790,"1979","2007"
"8",8,"P09679","Velachery",1847,"13-03-2006",176,3,2,5,"Family","No","15-03-1996","Commercial","AllPub","Gravel",604809,235204,16800250,"1996","2006"
"9",9,"P03377","Chromepet",771,"06-04-2011",175,1,1,2,"Adj Land","No","14-04-1977","Other","No_Sew_Water","Paved",257578,33236,8308970,"1977","2011"
"10",10,"P09623","Velachery",1635,"22-06-2006",74,2,1,4,"Abnormal","No","26-06-1991","Other","ELO","NoAccess",323346,121255,8083650,"1991","2006"
"11",11,"P09540","Chromepet",1203,"19-10-2006",78,2,1,4,"Adj Land","Yes","26-10-1978","Commercial","AllPub","NoAccess",403326,119504,14938000,"1978","2006"
"12",12,"P07121","Chromepet",1054,"16-02-2009",143,1,1,3,"Partial","No","26-02-1972","Other","No_Sew_Water","Gravel",245693,141746,9449730,"1972","2009"
"13",13,"P05512","Chromepet",1196,"11-02-2010",137,1,1,3,"Family","No","16-02-1991","Other","No_Sew_Water","NoAccess",289554,35097,8774370,"1991","2010"
"14",14,"P09370","Adyar",1056,"01-01-2007",83,1,1,3,"Partial","Yes","07-01-1981","Other","No_Sew_Water","Paved",319141,37546,9386490,"1981","2007"
"15",15,"P04085","Velachery",1865,"11-11-2010",157,3,2,5,"Family","No","24-11-1956","Commercial","No_Sew_Water","Paved",619987,294494,15499680,"1956","2010"
"16",16,"P06328","Velachery",1868,"12-09-2009",148,3,2,5,"Family","No","14-09-2000","Commercial","No_Sew_Water","Gravel",597135,188569,15714080,"2000","2009"
"17",17,"P06039","Karapakkam",1639,"04-11-2009",175,2,2,4,"Normal Sale","Yes","09-11-1991","Housing","ELO","Gravel",285648,77904,8656000,"1991","2009"
"18",18,"P02016","Chromepet",796,"25-12-2011",134,1,1,2,"Adj Land","Yes","03-01-1975","Commercial","AllPub","NoAccess",316464,130951,10912550,"1975","2011"
"19",19,"P08160","Adyar",1136,"05-04-2008",69,1,1,3,"Normal Sale","Yes","13-04-1978","Other","AllPub","Paved",323214,49725,8287550,"1978","2008"
"20",20,"P01372","Anna Nagar",1902,"02-07-2012",168,2,1,5,"Family","Yes","13-07-1970","Commercial","ELO","Paved",742113,212032,21203240,"1970","2012"
"21",21,"P00936","Chromepet",1069,"19-04-2013",53,1,1,3,"Abnormal","Yes","20-04-2009","Other","No_Sew_Water","Paved",283544,43622,10905530,"2009","2013"
"22",22,"P07346","Chromepet",931,"13-12-2008",96,1,1,3,"Abnormal","Yes","19-12-1986","Other","ELO","Paved",248021,27558,9185970,"1986","2008"
"23",23,"P06851","KK Nagar",2010,"06-05-2009",114,3,2,5,"Partial","No","09-05-1999","Other","No_Sew_Water","Gravel",327762,262210,10925400,"1999","2009"
"24",24,"P04665","Chromepet",1074,"23-07-2010",100,1,1,3,"Abnormal","No","27-07-1994","Other","No_Sew_Water","Gravel",288821,86646,9627380,"1994","2010"
