"","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD","AREA_Adyar","AREA_AnnaNagar","AREA_Karapakkam","AREA_KKnagar","AREA_TNagar","AREA_Velachery","SALE_COND_Abnormal","SALE_COND_Family","SALE_COND_NormalSale","SALE_COND_Partial","PARK_FACIL_No","BUILDTYPE_Commercial","BUILDTYPE_Other","UTILITY_AVAIL_AllPub","UTILITY_AVAIL_ELO","STREET_Gravel","STREET_NoAccess"
"1",1004,131,1,1,3,380000,144400,7600000,1967,2011,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"2",1986,26,2,1,5,760122,304049,21717770,1995,2006,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
"3",909,70,1,1,3,421094,92114,13159200,1992,2012,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"4",1855,14,3,2,5,356321,77042,9630290,1988,2010,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"5",1226,84,1,1,3,237000,74063,7406250,1979,2009,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"6",1220,36,2,1,4,409027,198316,12394750,2009,2014,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"7",1167,137,1,1,3,263152,33955,8488790,1979,2007,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
"8",1847,176,3,2,5,604809,235204,16800250,1996,2006,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
"9",771,175,1,1,2,257578,33236,8308970,1977,2011,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"10",1635,74,2,1,4,323346,121255,8083650,1991,2006,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
"11",1203,78,2,1,4,403326,119504,14938000,1978,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"12",1054,143,1,1,3,245693,141746,9449730,1972,2009,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"13",1196,137,1,1,3,289554,35097,8774370,1991,2010,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"14",1056,83,1,1,3,319141,37546,9386490,1981,2007,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"15",1865,157,3,2,5,619987,294494,15499680,1956,2010,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"16",1868,148,3,2,5,597135,188569,15714080,2000,2009,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
"17",1639,175,2,2,4,285648,77904,8656000,1991,2009,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"18",796,134,1,1,2,316464,130951,10912550,1975,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"19",1136,69,1,1,3,323214,49725,8287550,1978,2008,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"20",1902,168,2,1,5,742113,212032,21203240,1970,2012,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"21",1069,53,1,1,3,283544,43622,10905530,2009,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"22",931,96,1,1,3,248021,27558,9185970,1986,2008,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"23",2010,114,3,2,5,327762,262210,10925400,1999,2009,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"24",1074,100,1,1,3,288821,86646,9627380,1994,2010,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"25",1972,111,2,1,5,487297,167073,13922760,2008,2013,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"26",1685,105,1,1,4,352830,176415,12601080,1980,2014,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"27",1130,29,1,1,3,468417,53533,13383350,1981,2011,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"28",1301,59,1,1,3,357283,71457,7939625,2003,2010,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"29",730,185,1,1,2,265449,53090,8848285,1972,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"30",1806,138,2,1,5,430852,113382,11338200,1978,2013,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"31",1981,173,2,1,5,373300,218831,12872430,2000,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"32",868,15,1,1,3,325514,72336,9042050,2001,2011,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"33",1721,117,1,1,4,416483,223116,14874380,1992,2012,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"34",1755,16,2,1,4,306671,173780,10222380,1987,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
